"lower_case_title","rental_rate","sale_rate"
"academy dinosaur","0.99","0.7425"
"ace goldfinger","4.99","3.7425"
"adaptation holes","2.99","2.2425"
"affair prejudice","2.99","2.2425"
"african egg","2.99","2.2425"
"agent truman","2.99","2.2425"
"airplane sierra","4.99","3.7425"
"airport pollock","4.99","3.7425"
"alabama devil","2.99","2.2425"
"aladdin calendar","4.99","3.7425"
"alamo videotape","0.99","0.7425"
"alaska phantom","0.99","0.7425"
"date speed","0.99","0.7425"
"ali forever","4.99","3.7425"
"alice fantasia","0.99","0.7425"
"alien center","2.99","2.2425"
"alley evolution","2.99","2.2425"
"alone trip","0.99","0.7425"
"alter victory","0.99","0.7425"
"amadeus holy","0.99","0.7425"
"amelie hellfighters","4.99","3.7425"
"american circus","4.99","3.7425"
"amistad midsummer","2.99","2.2425"
"anaconda confessions","0.99","0.7425"
"analyze hoosiers","2.99","2.2425"
"angels life","2.99","2.2425"
"annie identity","0.99","0.7425"
"anonymous human","0.99","0.7425"
"anthem luke","4.99","3.7425"
"antitrust tomatoes","2.99","2.2425"
"anything savannah","2.99","2.2425"
"apache divine","4.99","3.7425"
"apocalypse flamingos","4.99","3.7425"
"apollo teen","2.99","2.2425"
"arabia dogma","0.99","0.7425"
"arachnophobia rollercoaster","2.99","2.2425"
"argonauts town","0.99","0.7425"
"arizona bang","2.99","2.2425"
"ark ridgemont","0.99","0.7425"
"armageddon lost","0.99","0.7425"
"army flintstones","0.99","0.7425"
"arsenic independence","0.99","0.7425"
"artist coldblooded","2.99","2.2425"
"atlantis cause","2.99","2.2425"
"attacks hate","4.99","3.7425"
"attraction newton","4.99","3.7425"
"autumn crow","4.99","3.7425"
"baby hall","4.99","3.7425"
"backlash undefeated","4.99","3.7425"
"badman dawn","2.99","2.2425"
"baked cleopatra","2.99","2.2425"
"balloon homeward","2.99","2.2425"
"ballroom mockingbird","0.99","0.7425"
"bang kwai","2.99","2.2425"
"banger pinocchio","0.99","0.7425"
"barbarella streetcar","2.99","2.2425"
"barefoot manchurian","2.99","2.2425"
"basic easy","2.99","2.2425"
"beach heartbreakers","2.99","2.2425"
"bear graceland","2.99","2.2425"
"beast hunchback","4.99","3.7425"
"beauty grease","4.99","3.7425"
"bed highball","2.99","2.2425"
"bedazzled married","0.99","0.7425"
"beethoven exorcist","0.99","0.7425"
"behavior runaway","4.99","3.7425"
"beneath rush","0.99","0.7425"
"berets agent","2.99","2.2425"
"betrayed rear","4.99","3.7425"
"beverly outlaw","2.99","2.2425"
"bikini borrowers","4.99","3.7425"
"bilko anonymous","4.99","3.7425"
"bill others","2.99","2.2425"
"bingo talented","2.99","2.2425"
"birch antitrust","4.99","3.7425"
"bird independence","4.99","3.7425"
"birdcage casper","0.99","0.7425"
"birds perdition","4.99","3.7425"
"blackout private","2.99","2.2425"
"blade polish","0.99","0.7425"
"blanket beverly","2.99","2.2425"
"blindness gun","4.99","3.7425"
"blood argonauts","0.99","0.7425"
"blues instinct","2.99","2.2425"
"boiled dares","4.99","3.7425"
"bonnie holocaust","0.99","0.7425"
"boogie amelie","4.99","3.7425"
"boondock ballroom","0.99","0.7425"
"born spinal","4.99","3.7425"
"borrowers bedazzled","0.99","0.7425"
"boulevard mob","0.99","0.7425"
"bound cheaper","0.99","0.7425"
"bowfinger gables","4.99","3.7425"
"brannigan sunrise","4.99","3.7425"
"braveheart human","2.99","2.2425"
"breakfast goldfinger","4.99","3.7425"
"breaking home","2.99","2.2425"
"bride intrigue","0.99","0.7425"
"bright encounters","4.99","3.7425"
"bringing hysterical","2.99","2.2425"
"brooklyn desert","4.99","3.7425"
"brotherhood blanket","0.99","0.7425"
"bubble grosse","4.99","3.7425"
"bucket brotherhood","4.99","3.7425"
"bugsy song","2.99","2.2425"
"bull shawshank","0.99","0.7425"
"bulworth commandments","2.99","2.2425"
"bunch minds","2.99","2.2425"
"butch panther","0.99","0.7425"
"butterfly chocolat","0.99","0.7425"
"cabin flash","0.99","0.7425"
"caddyshack jedi","0.99","0.7425"
"calendar gunfight","4.99","3.7425"
"california birds","4.99","3.7425"
"camelot vacation","0.99","0.7425"
"campus remember","2.99","2.2425"
"candidate perdition","2.99","2.2425"
"candles grapes","4.99","3.7425"
"canyon stock","0.99","0.7425"
"caper motions","0.99","0.7425"
"caribbean liberty","4.99","3.7425"
"carol texas","2.99","2.2425"
"carrie bunch","0.99","0.7425"
"casablanca super","4.99","3.7425"
"casper dragonfly","4.99","3.7425"
"cassidy wyoming","2.99","2.2425"
"casualties encino","4.99","3.7425"
"cat coneheads","4.99","3.7425"
"catch amistad","0.99","0.7425"
"cause date","2.99","2.2425"
"celebrity horn","0.99","0.7425"
"center dinosaur","4.99","3.7425"
"chainsaw uptown","0.99","0.7425"
"chamber italian","4.99","3.7425"
"champion flatliners","4.99","3.7425"
"chance resurrection","2.99","2.2425"
"chaplin license","2.99","2.2425"
"charade duffel","2.99","2.2425"
"chariots conspiracy","2.99","2.2425"
"chasing fight","4.99","3.7425"
"cheaper clyde","0.99","0.7425"
"chicago north","4.99","3.7425"
"chicken hellfighters","0.99","0.7425"
"chill luck","0.99","0.7425"
"chinatown gladiator","4.99","3.7425"
"chisum behavior","4.99","3.7425"
"chitty lock","2.99","2.2425"
"chocolat harry","0.99","0.7425"
"chocolate duck","2.99","2.2425"
"christmas moonshine","0.99","0.7425"
"cider desire","2.99","2.2425"
"cincinatti whisperer","4.99","3.7425"
"circus youth","2.99","2.2425"
"citizen shrek","0.99","0.7425"
"clash freddy","2.99","2.2425"
"cleopatra devil","0.99","0.7425"
"clerks angels","4.99","3.7425"
"clockwork paradise","0.99","0.7425"
"clones pinocchio","2.99","2.2425"
"closer bang","4.99","3.7425"
"club graffiti","0.99","0.7425"
"clue grail","4.99","3.7425"
"clueless bucket","2.99","2.2425"
"clyde theory","0.99","0.7425"
"coast rainbow","0.99","0.7425"
"coldblooded darling","4.99","3.7425"
"color philadelphia","2.99","2.2425"
"coma head","4.99","3.7425"
"comancheros enemy","0.99","0.7425"
"comforts rush","2.99","2.2425"
"command darling","4.99","3.7425"
"commandments express","4.99","3.7425"
"coneheads smoochy","4.99","3.7425"
"confessions maguire","4.99","3.7425"
"confidential interview","4.99","3.7425"
"confused candles","2.99","2.2425"
"congeniality quest","0.99","0.7425"
"connecticut tramp","4.99","3.7425"
"connection microcosmos","0.99","0.7425"
"conquerer nuts","4.99","3.7425"
"conspiracy spirit","2.99","2.2425"
"contact anonymous","2.99","2.2425"
"control anthem","4.99","3.7425"
"conversation downhill","4.99","3.7425"
"core suit","2.99","2.2425"
"cowboy doom","2.99","2.2425"
"craft outfield","0.99","0.7425"
"cranes reservoir","2.99","2.2425"
"crazy home","2.99","2.2425"
"creatures shakespeare","0.99","0.7425"
"creepers kane","4.99","3.7425"
"crooked frogmen","0.99","0.7425"
"crossing divorce","4.99","3.7425"
"crossroads casualties","2.99","2.2425"
"crow grease","0.99","0.7425"
"crowds telemark","4.99","3.7425"
"cruelty unforgiven","0.99","0.7425"
"crusade honey","2.99","2.2425"
"crystal breaking","2.99","2.2425"
"cupboard sinners","2.99","2.2425"
