"title"
"AMADEUS HOLY"
"AMERICAN CIRCUS"
"ANTITRUST TOMATOES"
"ARK RIDGEMONT"
"BAREFOOT MANCHURIAN"
"BERETS AGENT"
"BRIDE INTRIGUE"
"BULL SHAWSHANK"
"CADDYSHACK JEDI"
"CAMPUS REMEMBER"
"CASUALTIES ENCINO"
"CELEBRITY HORN"
"CLUELESS BUCKET"
"CROW GREASE"
"DANCES NONE"
"DARKO DORADO"
"DARN FORRESTER"
"DEVIL DESIRE"
"DRAGON SQUAD"
"DREAM PICKUP"
"DRIFTER COMMANDMENTS"
"EASY GLADIATOR"
"ENTRAPMENT SATISFACTION"
"EXCITEMENT EVE"
"FANTASY TROOPERS"
"FIREHOUSE VIETNAM"
"FOOL MOCKINGBIRD"
"FORREST SONS"
"GLASS DYING"
"GOSFORD DONNIE"
"GRAIL FRANKENSTEIN"
"HANDICAP BOONDOCK"
"HILLS NEIGHBORS"
"KISSING DOLLS"
"LAWRENCE LOVE"
"LORD ARIZONA"
"LUST LOCK"
"MAGNOLIA FORRESTER"
"MIDNIGHT WESTWARD"
"MINDS TRUMAN"
"MOCKINGBIRD HOLLYWOOD"
"MONTEZUMA COMMAND"
"PARK CITIZEN"
"PATRIOT ROMAN"
"PRIMARY GLASS"
"QUEST MUSSOLINI"
"REAR TRADING"
"RINGS HEARTBREAKERS"
"RUGRATS SHAKESPEARE"
"SHRUNK DIVINE"
"SIDE ARK"
"SKY MIRACLE"
"SOUTH WAIT"
"SPEAKEASY DATE"
"STAGECOACH ARMAGEDDON"
"STORY SIDE"
"SUSPECTS QUILLS"
"TRIP NEWTON"
"TRUMAN CRAZY"
"UPRISING UPTOWN"
"WATERFRONT DELIVERANCE"
"WEREWOLF LOLA"
"WOMEN DORADO"
"WORST BANGER"
